"Label (Grouping)","Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"    Estimate","134,911"
"Census Tract 67, District of Columbia, District of Columbia",""
"    Estimate","140,054"
"Census Tract 68.01, District of Columbia, District of Columbia",""
"    Estimate","89,327"
"Census Tract 68.02, District of Columbia, District of Columbia",""
"    Estimate","156,042"
"Census Tract 68.04, District of Columbia, District of Columbia",""
"    Estimate","156,583"
"Census Tract 69, District of Columbia, District of Columbia",""
"    Estimate","144,063"
"Census Tract 70, District of Columbia, District of Columbia",""
"    Estimate","124,583"
"Census Tract 71, District of Columbia, District of Columbia",""
"    Estimate","72,109"
"Census Tract 72, District of Columbia, District of Columbia",""
"    Estimate","109,605"
"Census Tract 73.01, District of Columbia, District of Columbia",""
"    Estimate","84,009"
"Census Tract 73.04, District of Columbia, District of Columbia",""
"    Estimate","32,428"
"Census Tract 74.01, District of Columbia, District of Columbia",""
"    Estimate","14,566"
"Census Tract 74.03, District of Columbia, District of Columbia",""
"    Estimate","25,761"
"Census Tract 74.04, District of Columbia, District of Columbia",""
"    Estimate","42,439"
"Census Tract 74.06, District of Columbia, District of Columbia",""
"    Estimate","24,688"
"Census Tract 74.07, District of Columbia, District of Columbia",""
"    Estimate","34,410"
"Census Tract 74.08, District of Columbia, District of Columbia",""
"    Estimate","21,728"
"Census Tract 74.09, District of Columbia, District of Columbia",""
"    Estimate","38,107"
"Census Tract 75.02, District of Columbia, District of Columbia",""
"    Estimate","27,003"
"Census Tract 75.03, District of Columbia, District of Columbia",""
"    Estimate","26,250"
"Census Tract 75.04, District of Columbia, District of Columbia",""
"    Estimate","17,077"
"Census Tract 76.01, District of Columbia, District of Columbia",""
"    Estimate","34,840"
"Census Tract 76.03, District of Columbia, District of Columbia",""
"    Estimate","49,435"
"Census Tract 76.04, District of Columbia, District of Columbia",""
"    Estimate","54,338"
"Census Tract 76.05, District of Columbia, District of Columbia",""
"    Estimate","33,659"
"Census Tract 77.03, District of Columbia, District of Columbia",""
"    Estimate","26,020"
"Census Tract 77.07, District of Columbia, District of Columbia",""
"    Estimate","40,995"
"Census Tract 77.08, District of Columbia, District of Columbia",""
"    Estimate","35,488"
"Census Tract 77.09, District of Columbia, District of Columbia",""
"    Estimate","33,750"
"Census Tract 78.03, District of Columbia, District of Columbia",""
"    Estimate","37,203"
"Census Tract 78.04, District of Columbia, District of Columbia",""
"    Estimate","51,065"
"Census Tract 78.06, District of Columbia, District of Columbia",""
"    Estimate","37,981"
"Census Tract 78.07, District of Columbia, District of Columbia",""
"    Estimate","38,438"
"Census Tract 78.08, District of Columbia, District of Columbia",""
"    Estimate","31,714"
"Census Tract 78.09, District of Columbia, District of Columbia",""
"    Estimate","47,713"
"Census Tract 79.01, District of Columbia, District of Columbia",""
"    Estimate","51,949"
"Census Tract 79.03, District of Columbia, District of Columbia",""
"    Estimate","80,588"
"Census Tract 80.01, District of Columbia, District of Columbia",""
"    Estimate","139,706"
"Census Tract 80.02, District of Columbia, District of Columbia",""
"    Estimate","116,641"
"Census Tract 81, District of Columbia, District of Columbia",""
"    Estimate","143,068"
"Census Tract 82, District of Columbia, District of Columbia",""
"    Estimate","115,742"
"Census Tract 83.01, District of Columbia, District of Columbia",""
"    Estimate","147,989"
"Census Tract 83.02, District of Columbia, District of Columbia",""
"    Estimate","129,167"
"Census Tract 84.02, District of Columbia, District of Columbia",""
"    Estimate","93,011"
"Census Tract 84.10, District of Columbia, District of Columbia",""
"    Estimate","141,563"
"Census Tract 87.01, District of Columbia, District of Columbia",""
"    Estimate","100,333"
"Census Tract 87.02, District of Columbia, District of Columbia",""
"    Estimate","72,292"
"Census Tract 88.02, District of Columbia, District of Columbia",""
"    Estimate","64,810"
"Census Tract 88.03, District of Columbia, District of Columbia",""
"    Estimate","25,774"
"Census Tract 88.04, District of Columbia, District of Columbia",""
"    Estimate","43,922"
"Census Tract 89.03, District of Columbia, District of Columbia",""
"    Estimate","40,605"
"Census Tract 89.04, District of Columbia, District of Columbia",""
"    Estimate","33,228"
"Census Tract 90, District of Columbia, District of Columbia",""
"    Estimate","38,088"
"Census Tract 91.02, District of Columbia, District of Columbia",""
"    Estimate","44,217"
"Census Tract 92.01, District of Columbia, District of Columbia",""
"    Estimate","84,844"
"Census Tract 92.03, District of Columbia, District of Columbia",""
"    Estimate","70,156"
"Census Tract 92.04, District of Columbia, District of Columbia",""
"    Estimate","26,215"
"Census Tract 93.01, District of Columbia, District of Columbia",""
"    Estimate","94,495"
"Census Tract 93.02, District of Columbia, District of Columbia",""
"    Estimate","71,375"
"Census Tract 94, District of Columbia, District of Columbia",""
"    Estimate","97,804"
"Census Tract 95.01, District of Columbia, District of Columbia",""
"    Estimate","48,395"
"Census Tract 95.03, District of Columbia, District of Columbia",""
"    Estimate","104,603"
"Census Tract 95.04, District of Columbia, District of Columbia",""
"    Estimate","83,690"
"Census Tract 95.05, District of Columbia, District of Columbia",""
"    Estimate","67,112"
"Census Tract 95.07, District of Columbia, District of Columbia",""
"    Estimate","74,375"
"Census Tract 95.08, District of Columbia, District of Columbia",""
"    Estimate","56,404"
"Census Tract 95.09, District of Columbia, District of Columbia",""
"    Estimate","64,792"
"Census Tract 96.01, District of Columbia, District of Columbia",""
"    Estimate","29,428"
"Census Tract 96.02, District of Columbia, District of Columbia",""
"    Estimate","24,138"
"Census Tract 96.03, District of Columbia, District of Columbia",""
"    Estimate","44,229"
"Census Tract 96.04, District of Columbia, District of Columbia",""
"    Estimate","56,010"
